slice ID	単語ID	単語	単語スタートタイム(s)	単語エンドタイム(s)	モーラID	モーラ	モーラスタートタイム(s)	モーラエンドタイム(s)	duration(s)	rms	f0(Hz)	spectral_centroid(Hz)	zcr
41	15	血管	5.32	5.73	1	け	5.32	5.46	0.14	0.09023	76.68	3743.08	0.09123
42					2	か	5.46	5.67	0.21	0.12467	100.54	2117.54	0.04333
43					3	ん	5.67	5.73	0.06	0.09828	98.67	1690.97	0.01042
44	16	併活金	5.73	6.23	1	spn	5.73	6.23	0.5	0.09079	101.29	3184.28	0.0889
45	17	細胞内	6.23	6.79	1	さ	6.23	6.38	0.15	0.08063	97.73	5713.2	0.20632
46					2	い	6.38	6.44	0.06	0.12086	93.86	2036.33	0.02205
47					3	b	6.44	6.49	0.05	0.04258	88.34	1586.54	0.01289
48					4	お	6.49	6.6	0.11	0.13509	90.99	1585.0	0.02114
49					5	な	6.6	6.75	0.15	0.10649	67.85	1962.48	0.03166
50					6	い	6.75	6.79	0.04	0.09151	264.29	2096.91	0.02368
51	18	へ	6.79	6.86	1	え	6.79	6.86	0.07	0.09475	259.42	2025.2	0.03097
52	19	の	6.86	7.09	1	の	6.86	7.09	0.23	0.04781	65.41	1083.06	0.02056
53	20	カルシウム	7.28	7.86	1	か	7.28	7.43	0.15	0.07523	0.0	4386.34	0.09619
54					2	r	7.43	7.47	0.04	0.06338	83.24	2151.37	0.01648
55					3	う	7.47	7.52	0.05	0.14431	95.21	2349.69	0.01768
56					4	し	7.52	7.66	0.14	0.05689	108.24	5199.5	0.17582
57					5	う	7.66	7.75	0.09	0.11468	105.8	1700.73	0.01941
58					6	m	7.75	7.8	0.05	0.08432	100.87	2455.67	0.0082
59					7	う	7.8	7.86	0.06	0.12457	99.14	2008.15	0.0236
60	21	流入	7.86	8.2	1	rʲ	7.86	7.92	0.06	0.06374	95.69	2014.48	0.02637
61					2	ɨ	7.92	8.01	0.09	0.13743	99.3	1949.86	0.03284
62					3	ny	8.01	8.1	0.09	0.08927	77.04	1918.66	0.02679
63					4	ɨo	8.1	8.26	0.16	0.08354	65.41	1402.18	0.02072
64	23	ブロック	8.26	8.56	1	b	8.26	8.32	0.06	0.01878	65.41	1006.64	0.00578
65					2	う	8.32	8.36	0.04	0.06717	66.95	1227.05	0.01086
66					3	ろ	8.36	8.47	0.11	0.11036	0.0	1629.82	0.02734
67					4	k	8.47	8.53	0.06	0.0046	0.0	4904.04	0.07642
68					5	う	8.53	8.56	0.03	0.01721	0.0	9243.87	0.24463
69	24	すれば	8.56	8.95	1	s	8.56	8.61	0.05	0.02404	842.21	9456.75	0.31191
70					2	ɨ	8.61	8.64	0.03	0.05148	65.41	2667.66	0.01953
71					3	れ	8.64	8.74	0.1	0.0817	242.67	1862.46	0.02528
72					4	ば	8.74	8.95	0.21	0.06062	68.39	1638.55	0.03238
73	25	血管	9.2	9.55	1	け	9.2	9.33	0.13	0.07191	0.0	4230.97	0.12443
74					2	か	9.33	9.49	0.16	0.09189	85.32	2643.6	0.05915
75					3	ん	9.49	9.55	0.06	0.09502	79.43	2711.75	0.02775
76	26	収縮	9.55	9.98	1	sh	9.55	9.66	0.11	0.04321	0.0	6107.46	0.19727
77					2	ɨ	9.66	9.74	0.08	0.12342	78.86	2325.17	0.03878
78					3	sh	9.74	9.81	0.07	0.03718	1833.48	6097.49	0.19371
79					4	ɨ	9.81	9.85	0.04	0.01096	0.0	5812.04	0.13708
80					5	k	9.85	9.91	0.06	0.00603	706.59	4612.1	0.13379
81					6	uo	9.91	10.07	0.16	0.0681	235.42	1015.41	0.01712
82	28	抑制	10.07	10.46	1	よ	10.07	10.19	0.12	0.04083	229.48	1022.18	0.01567
83					2	k	10.19	10.26	0.07	0.01078	0.0	4701.56	0.09912
84					3	s	10.26	10.35	0.09	0.03732	0.0	8058.69	0.3056
85					4	え	10.35	10.46	0.11	0.148	72.7	2592.35	0.04419
86	29	できます	10.46	10.96	1	で	10.46	10.55	0.09	0.08097	67.38	2359.56	0.04358
87					2	ひ	10.55	10.64	0.09	0.02138	67.09	3156.51	0.08514
88					3	ま	10.64	10.75	0.11	0.09864	65.41	1888.45	0.03325
89					4	s	10.75	10.84	0.09	0.02276	942.48	8487.53	0.32867
90					5	ɨ̥	10.84	10.96	0.12	0.00577	0.0	8721.26	0.28911
91	30	しかし	11.92	12.41	1	sh	11.92	12.04	0.12	0.02734	65.41	6117.03	0.20628
92					2	か	12.04	12.15	0.11	0.12053	110.15	2852.49	0.06177
93					3	し	12.15	12.41	0.26	0.10194	81.23	3813.49	0.11509
94	31	近年	12.41	12.88	1	ひ	12.41	12.56	0.15	0.06265	89.61	3015.09	0.07858
95					2	ね	12.56	12.79	0.23	0.10214	72.05	1999.09	0.04182
96					3	ん	12.79	12.88	0.09	0.02488	65.41	1688.71	0.00842
97	32	カルシウム	13.13	13.74	1	か	13.13	13.27	0.14	0.07554	0.0	3490.81	0.0767
98					2	r	13.27	13.31	0.04	0.08898	0.0	1802.41	0.02478
99					3	う	13.31	13.37	0.06	0.12507	83.23	2085.93	0.02148
100					4	し	13.37	13.55	0.18	0.07265	95.69	4936.71	0.16321
101					5	う	13.55	13.63	0.08	0.16888	92.65	1656.18	0.02016
102					6	m	13.63	13.68	0.05	0.10404	91.65	1466.32	0.01445
103					7	う	13.68	13.74	0.06	0.11698	88.41	2142.42	0.01929
104	33	流入	13.74	14.09	1	rʲ	13.74	13.79	0.05	0.05093	84.08	2460.61	0.01279
105					2	ɨ	13.79	13.9	0.11	0.1808	89.83	1991.16	0.02363
106					3	ny	13.9	13.97	0.07	0.08827	78.39	2038.14	0.01667
107					4	ɨ	13.97	14.09	0.12	0.08409	65.41	1808.24	0.02313
108	34	と	14.09	14.19	1	と	14.09	14.19	0.1	0.03886	65.41	2292.14	0.03646
109	35	は	14.19	14.34	1	わ	14.19	14.34	0.15	0.11789	316.08	1548.95	0.02888
110	36	独立	14.34	14.82	1	ど	14.34	14.48	0.14	0.05867	233.59	1301.56	0.01551
111					2	k	14.48	14.54	0.06	0.00801	629.48	3377.43	0.02954
112					3	う	14.54	14.59	0.05	0.07983	74.1	1440.08	0.01592
113					4	rʲi	14.59	14.69	0.1	0.07734	75.21	2598.67	0.03494
114					5	ts	14.69	14.75	0.06	0.01141	0.0	7494.79	0.19759
115					6	ɨ	14.75	14.82	0.07	0.05889	78.71	3315.22	0.03585
116	37	した	14.82	15.02	1	sh	14.82	14.9	0.08	0.02822	0.0	6845.18	0.22663
117					2	た	14.9	15.02	0.12	0.07202	78.1	3057.96	0.07923
118	38	経路	15.02	15.33	1	k	15.02	15.1	0.08	0.01014	0.0	3391.58	0.0565
119					2	え	15.1	15.23	0.13	0.15832	74.26	1946.33	0.02344
120					3	ろ	15.23	15.33	0.1	0.08718	244.59	1584.38	0.02349
121	39	と	15.33	15.44	1	と	15.33	15.44	0.11	0.03904	65.41	2548.62	0.02886
122	40	して	15.44	15.8	1	sh	15.44	15.52	0.08	0.01911	0.0	5970.15	0.18645
123					2	て	15.52	15.8	0.28	0.06017	65.41	2430.44	0.04648
124	41	ロック	15.91	16.27	1	ろ	15.91	16.08	0.17	0.09823	66.44	1361.89	0.02409
125					2	k	16.08	16.24	0.16	0.00743	82.17	3305.75	0.06703
126					3	う	16.24	16.27	0.03	0.03186	79.78	3174.2	0.02148
127	42	が	16.27	16.469999	1	が	16.27	16.47	0.2	0.12356	70.58	2162.11	0.03611
128	43	見出され	16.469999	16.959999	1	spn	16.47	16.96	0.49	0.06552	65.97	2696.06	0.06435
129	44	血管	17.549999	17.92	1	け	17.55	17.69	0.14	0.09268	78.52	3043.93	0.0646
130					2	か	17.69	17.84	0.15	0.09184	96.62	2172.53	0.03906
131					3	ん	17.84	17.92	0.08	0.13863	113.06	1908.84	0.02776
132	45	収縮	17.92	18.309999	1	sh	17.92	18.01	0.09	0.04269	1874.32	5829.94	0.17798
133					2	ɨ	18.01	18.1	0.09	0.11401	115.15	1891.23	0.03033
134					3	sh	18.1	18.18	0.08	0.04617	1762.71	5409.59	0.16706
135					4	ɨ	18.18	18.21	0.03	0.01205	0.0	5583.1	0.11296
136					5	k	18.21	18.26	0.05	0.00759	0.0	3555.91	0.07236
137					6	う	18.26	18.31	0.05	0.09044	66.88	1710.72	0.01924
138	46	に	18.309999	18.42	1	nyi	18.31	18.42	0.11	0.07477	65.79	1844.01	0.03638
139	47	深く	18.42	18.76	1	ɸ	18.42	18.51	0.09	0.0204	65.41	6219.43	0.17908
140					2	か	18.51	18.66	0.15	0.11153	104.75	2417.75	0.04334
141					3	k	18.66	18.73	0.07	0.00864	0.0	3054.74	0.0558
142					4	う	18.73	18.76	0.03	0.01479	66.69	2795.56	0.0179
143	48	関与	18.76	19.040001	1	か	18.76	18.87	0.11	0.04606	70.8	3893.39	0.077
144					2	ɰ̃	18.87	18.94	0.07	0.10702	67.45	2058.1	0.02985
145					3	よ	18.94	19.04	0.1	0.07794	65.41	1737.41	0.02062
146					4	sh	19.04	19.12	0.08	0.02249	1973.87	5669.14	0.18408
147	49	して	19.040001	19.209999	1	て	19.12	19.21	0.09	0.04455	66.73	3672.97	0.08307
148	50	いる	19.209999	19.309999	1	い	19.21	19.24	0.03	0.06683	0.0	1761.24	0.0127
149					2	r	19.24	19.27	0.03	0.05034	66.17	1705.06	0.01335
150					3	う	19.27	19.31	0.04	0.05648	65.41	1548.28	0.00903
151	51	こと	19.309999	19.51	1	こ	19.31	19.41	0.1	0.0245	66.13	2555.44	0.03727
152					2	と	19.41	19.51	0.1	0.04655	65.69	2470.53	0.03103
153	52	が	19.51	19.77	1	が	19.51	19.77	0.26	0.09224	382.41	1576.23	0.03435
154	53	明らか	19.77	20.15	1	あ	19.77	19.84	0.07	0.03313	382.61	1521.6	0.01765
155					2	ひ	19.84	19.94	0.1	0.0292	72.8	3524.15	0.09142
156					3	ら	19.94	20.03	0.09	0.1501	77.76	1673.31	0.0296
157					4	か	20.03	20.15	0.12	0.06692	0.0	2496.33	0.05238
158	54	に	20.15	20.24	1	nyi	20.15	20.24	0.09	0.05531	65.5	1513.34	0.01666
159	55	なりました	20.24	20.74	1	な	20.24	20.33	0.09	0.03685	296.23	1389.13	0.02185
160					2	rʲi	20.33	20.39	0.06	0.0318	208.11	1461.44	0.01383
161					3	ま	20.39	20.48	0.09	0.0452	65.41	1419.28	0.01538
162					4	sh	20.48	20.54	0.06	0.0143	0.0	5934.68	0.16024
163					5	た	20.54	20.74	0.2	0.02409	432.0	3082.53	0.07826
